x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
5470.0,2200.0,2380.0,2370.0,2320.0,2380.0,1550.0,2200.0,410.0,2310.0,1940.0,1380.0,1000.0,2060.0,1330.0,8100.0,2180.0,1120.0,1950.0,700.0,3900.0,750.0,570.0,2320.0,1200.0,3940.0,2030.0,2560.0,1200.0,2230.0,1970.0,1140.0,3750.0,210.0,3750.0,3070.0,5040.0,2360.0,3750.0,8870.0,2400.0,3280.0,1290.0,1590.0,780.0,2060.0,4290.0,900.0,1710.0,1810.0,2440.0,2850.0,1980.0,1430.0,3580.0,740.0,1600.0,1230.0,4420.0,1520.0,2200.0,1530.0,2750.0,1940.0,5870.0,2880.0,2350.0,3060.0,8090.0,2860.0,450.0,2540.0,2730.0,5100.0,2080.0,7970.0,1290.0,2920.0,6140.0,1070.0,2710.0,2170.0,3490.0,1090.0,1310.0,2250.0,2790.0,1340.0,1960.0,2180.0,2390.0,640.0,2720.0,1670.0,2240.0,1010.0,190.0,1180.0,1100.0,1750.0
3820.0,3810.0,5710.0,1100.0,4960.0,4890.0,800.0,1720.0,1970.0,2710.0,1200.0,1960.0,320.0,2930.0,3080.0,2620.0,3400.0,920.0,1310.0,1970.0,2900.0,30.0,3000.0,800.0,590.0,1440.0,2590.0,1200.0,2670.0,1420.0,2590.0,2590.0,340.0,3020.0,1280.0,2200.0,2220.0,2940.0,1340.0,1360.0,740.0,1580.0,2440.0,960.0,2330.0,3810.0,2100.0,2550.0,990.0,870.0,4490.0,4760.0,810.0,3800.0,3280.0,2640.0,1490.0,2400.0,2770.0,1710.0,800.0,2770.0,5390.0,2620.0,2380.0,3300.0,4630.0,1680.0,1670.0,620.0,540.0,2970.0,1700.0,1640.0,1690.0,2900.0,3790.0,530.0,830.0,1460.0,3640.0,3400.0,2140.0,1080.0,430.0,3260.0,1820.0,1010.0,880.0,1540.0,3450.0,3900.0,1900.0,2200.0,2480.0,1590.0,860.0,3000.0,2620.0,1650.0
450.0,2100.0,720.0,670.0,420.0,740.0,460.0,560.0,1800.0,1090.0,280.0,990.0,300.0,450.0,1150.0,1380.0,1190.0,1430.0,150.0,1290.0,1130.0,330.0,1440.0,1070.0,70.0,750.0,960.0,400.0,1160.0,1140.0,670.0,550.0,840.0,380.0,1250.0,520.0,890.0,610.0,1090.0,1900.0,2910.0,1240.0,2110.0,460.0,1080.0,800.0,200.0,500.0,580.0,830.0,1120.0,350.0,600.0,440.0,500.0,1000.0,1630.0,920.0,710.0,430.0,820.0,550.0,560.0,880.0,1040.0,420.0,580.0,370.0,270.0,860.0,190.0,1810.0,910.0,1980.0,1080.0,900.0,1510.0,710.0,940.0,610.0,1590.0,1800.0,1410.0,1360.0,270.0,910.0,980.0,490.0,1250.0,1100.0,710.0,680.0,490.0,1010.0,1350.0,1390.0,570.0,670.0,550.0,190.0
520.0,2760.0,1090.0,2070.0,1060.0,2260.0,320.0,1200.0,1070.0,240.0,130.0,1050.0,650.0,720.0,1320.0,1020.0,340.0,640.0,2120.0,710.0,960.0,1570.0,2290.0,640.0,280.0,910.0,2210.0,560.0,810.0,530.0,570.0,1120.0,510.0,320.0,1040.0,880.0,540.0,1000.0,1640.0,480.0,1960.0,720.0,2040.0,1380.0,1180.0,2540.0,2230.0,460.0,740.0,180.0,1050.0,1600.0,1050.0,2340.0,1470.0,640.0,270.0,1770.0,1000.0,1070.0,820.0,3440.0,1550.0,950.0,1070.0,2070.0,1120.0,610.0,980.0,1180.0,750.0,1680.0,770.0,2060.0,1060.0,820.0,3580.0,2340.0,1270.0,640.0,3640.0,930.0,1160.0,940.0,150.0,390.0,1860.0,590.0,1190.0,660.0,1910.0,390.0,1400.0,2350.0,710.0,2690.0,480.0,580.0,1600.0,950.0
4898.0,3022.0,3885.0,3669.0,4712.0,5045.0,1368.0,838.0,2112.0,1275.0,2939.0,2316.0,86.0,2844.0,2073.0,2249.0,2468.0,5127.0,1490.0,1145.0,157.0,1414.0,981.0,2270.0,1164.0,1462.0,2719.0,845.0,2210.0,2359.0,414.0,3156.0,4485.0,4841.0,5361.0,5723.0,4996.0,4555.0,5234.0,4864.0,2113.0,3091.0,5075.0,4611.0,4254.0,1240.0,4843.0,2051.0,826.0,4914.0,4749.0,4823.0,3057.0,5161.0,5555.0,1071.0,4042.0,5710.0,3517.0,3405.0,2293.0,5402.0,193.0,4581.0,4460.0,4929.0,2539.0,4758.0,3632.0,419.0,247.0,1708.0,1113.0,4446.0,1518.0,2397.0,2835.0,1870.0,1180.0,1458.0,4803.0,1650.0,4807.0,624.0,5109.0,5463.0,4272.0,505.0,5131.0,3570.0,5481.0,1835.0,1074.0,2262.0,2213.0,1287.0,1601.0,5343.0,4403.0,1575.0
10678.0,7703.0,277.0,4819.0,4393.0,3709.0,10736.0,4552.0,1187.0,2095.0,5876.0,996.0,8337.0,8299.0,6547.0,1504.0,894.0,603.0,24311.0,4881.0,10474.0,17470.0,9338.0,1784.0,6181.0,806.0,1931.0,461.0,8034.0,9536.0,11155.0,6537.0,18089.0,145.0,2231.0,6597.0,4100.0,14707.0,8776.0,13394.0,3152.0,7627.0,5205.0,245.0,321.0,1183.0,1175.0,4942.0,3152.0,2580.0,15002.0,2368.0,3240.0,1903.0,1274.0,6241.0,1849.0,3211.0,3061.0,8153.0,16129.0,4845.0,2689.0,2017.0,1931.0,1961.0,143.0,1792.0,2967.0,10982.0,3529.0,2110.0,2549.0,13754.0,8110.0,2196.0,3471.0,15467.0,4953.0,3477.0,6053.0,1248.0,26717.0,2591.0,5064.0,14934.0,7509.0,3645.0,3152.0,4331.0,865.0,4420.0,16220.0,14055.0,2212.0,2897.0,536.0,846.0,6217.0,8427.0
